inquantity,inquantitynor,InpH,inphnor,InCOD,incodnor,inbod,inbod5nor,InAmmoniaN,inammonianor,InSS,InSSNor,InPhosphate,InPhosphateNor
318.76,0.65,7.39,0.6,359,0.16,108,0.47,24.9,0.39,192,0.55,3.99,0.71
374.1,0.49,7.55,0.38,185,0.73,92.5,0.61,17.9,0.72,112,0.8,3.13,0.83
336.42,0.6,7.54,0.39,271,0.45,91,0.62,27.2,0.28,156,0.66,5.02,0.56
347.33,0.57,7.66,0.22,223,0.61,105,0.49,24.1,0.43,132,0.74,5.64,0.48
342.06,0.58,7.5,0.44,366,0.14,87.7,0.65,26.1,0.33,180,0.59,5.8,0.45
487.77,0.14,7.58,0.33,182,0.74,77.1,0.75,19.6,0.64,120,0.77,2.6,0.91
399.76,0.41,7.28,0.75,243,0.54,54.1,0.96,22.3,0.51,112,0.8,2.94,0.86
347.17,0.57,7.21,0.85,199,0.69,76,0.76,22.9,0.49,134,0.73,3.64,0.76
389.24,0.44,7.24,0.81,213,0.64,82.5,0.7,21,0.58,114,0.79,2.66,0.9
347.76,0.57,7.4,0.58,157,0.83,56.5,0.94,20.2,0.61,130,0.74,3.52,0.78
339.03,0.59,7.73,0.13,283,0.41,86.5,0.66,26.6,0.31,210,0.5,5.94,0.43
383.61,0.46,7.44,0.53,182,0.74,70.1,0.81,21.1,0.57,104,0.82,3.09,0.84
333.08,0.61,7.47,0.49,212,0.64,89.7,0.63,23.2,0.47,134,0.73,3.33,0.8
338.11,0.6,7.57,0.35,282,0.41,85.5,0.67,25,0.39,248,0.38,4.35,0.66
344.66,0.58,7.49,0.46,354,0.18,94.4,0.59,22.1,0.52,228,0.45,6.01,0.42
387.75,0.45,7.56,0.36,192,0.71,56.9,0.93,19.1,0.67,76,0.91,3.11,0.83
349.44,0.56,7.36,0.64,218,0.63,90.9,0.62,23.1,0.48,138,0.72,3.15,0.83
371.17,0.5,7.47,0.49,193,0.71,83.3,0.69,18.9,0.68,116,0.79,2.48,0.92
403.22,0.4,7.54,0.39,175,0.77,84.9,0.68,17.3,0.75,90,0.87,2.8,0.88
478.17,0.17,7.55,0.38,295,0.37,103,0.51,19.9,0.63,288,0.26,5.29,0.53
452.96,0.25,7.37,0.63,158,0.82,67.5,0.84,19.6,0.64,122,0.77,3.33,0.8
327.1,0.63,7.82,0,215,0.63,49.5,1,20.1,0.62,122,0.77,5.9,0.44
366.51,0.51,7.65,0.24,297,0.37,101,0.53,20,0.62,198,0.54,5.3,0.52
400.63,0.41,7.54,0.39,198,0.69,74.4,0.77,19.3,0.66,170,0.62,2.86,0.87
260.01,0.83,7.52,0.42,238,0.56,87.1,0.66,23.4,0.46,182,0.59,3.52,0.78
345.86,0.57,7.2,0.86,239,0.56,93.7,0.6,26.1,0.33,122,0.77,3.21,0.82
335.34,0.6,7.48,0.47,346,0.2,89.9,0.63,28.2,0.23,164,0.64,5.96,0.43
516.56,0.06,7.6,0.31,178,0.76,52.9,0.97,17.1,0.76,100,0.84,2.77,0.88
429.06,0.32,7.57,0.35,215,0.63,70,0.81,20.9,0.58,102,0.83,3.19,0.82
330.26,0.62,7.56,0.36,286,0.4,124,0.32,25.4,0.37,168,0.63,5.19,0.54
349.37,0.56,7.29,0.74,240,0.55,86.9,0.66,24,0.43,140,0.71,3.59,0.77
319.35,0.65,7.42,0.56,239,0.56,96.3,0.57,26.1,0.33,162,0.65,3.29,0.81
357.87,0.54,7.6,0.31,277,0.43,93.9,0.59,25.6,0.36,190,0.56,6.75,0.32
412.56,0.37,7.4,0.58,198,0.69,74.4,0.77,19,0.67,124,0.76,2.81,0.88
467.51,0.21,7.48,0.47,198,0.69,58.8,0.92,18.9,0.68,124,0.76,2.87,0.87
337.06,0.6,7.41,0.57,218,0.63,89.7,0.63,23.8,0.44,168,0.63,3.13,0.83
335.8,0.6,7.52,0.42,147,0.86,119,0.37,15.2,0.85,96,0.85,4.9,0.58
347.63,0.57,7.12,0.97,233,0.58,81.9,0.7,21.2,0.57,174,0.61,2.85,0.87
419.79,0.35,7.32,0.69,174,0.77,57.9,0.92,19,0.67,130,0.74,3.61,0.76
380.58,0.47,7.52,0.42,200,0.68,53.3,0.97,20.7,0.59,84,0.88,3.06,0.84
285.1,0.75,7.51,0.43,287,0.4,76.9,0.75,20.2,0.61,146,0.7,3.08,0.84
338.7,0.59,7.56,0.36,332,0.25,105,0.49,20.1,0.62,150,0.68,5.14,0.55
382.53,0.46,7.36,0.64,223,0.61,63.3,0.87,21.6,0.55,120,0.77,1.94,1
332.21,0.61,7.43,0.54,220,0.62,78.1,0.74,21.3,0.56,128,0.75,3.36,0.8
361.07,0.53,7.6,0.31,217,0.63,93.3,0.6,20.7,0.59,128,0.75,3.1,0.84
402.62,0.4,7.38,0.61,144,0.87,77.3,0.75,24.8,0.4,168,0.63,2.76,0.88
335.07,0.6,7.69,0.18,244,0.54,84.9,0.68,23.7,0.45,78,0.9,3.4,0.79
377.18,0.48,7.59,0.32,296,0.37,77.3,0.75,19.1,0.67,176,0.6,3.95,0.72
316.72,0.66,7.46,0.5,293,0.38,88.5,0.64,24.9,0.39,122,0.77,3.82,0.73
353.74,0.55,7.66,0.22,232,0.58,83.1,0.69,18.5,0.7,140,0.71,5.04,0.56
364.41,0.52,7.63,0.26,306,0.34,96.7,0.57,25.6,0.36,156,0.66,5.27,0.53
329.56,0.62,7.59,0.32,313,0.31,105,0.49,21.8,0.54,170,0.62,9,0
367.46,0.51,7.32,0.69,201,0.68,82.1,0.7,20.9,0.58,126,0.76,2.84,0.87
319.74,0.65,7.39,0.6,276,0.43,123,0.33,25.8,0.35,130,0.74,3.36,0.8
358.25,0.53,7.29,0.74,203,0.67,92.5,0.61,22.1,0.52,130,0.74,2.99,0.85
323.12,0.64,7.47,0.49,275,0.44,91.7,0.61,28.8,0.2,158,0.66,4,0.71
346.66,0.57,7.52,0.42,256,0.5,92.1,0.61,23.1,0.48,160,0.65,3.46,0.78
335.49,0.6,7.79,0.04,208,0.66,138,0.19,14.1,0.9,126,0.76,6.09,0.41
360.16,0.53,7.42,0.56,233,0.58,81.1,0.71,20.8,0.59,120,0.77,3,0.85
351.07,0.56,7.35,0.65,218,0.63,92.7,0.61,23.3,0.47,126,0.76,3.59,0.77
338.6,0.59,7.68,0.19,282,0.41,104,0.5,25.4,0.37,148,0.69,3.7,0.75
355.5,0.54,7.48,0.47,174,0.77,57.5,0.93,20.4,0.6,78,0.9,2.93,0.86
426.59,0.33,7.31,0.71,150,0.85,88.9,0.64,21.8,0.54,146,0.7,3.51,0.78
343.16,0.58,7.47,0.49,408,0,93.1,0.6,25.8,0.35,374,0,4.67,0.61
511.98,0.07,7.45,0.51,120,0.95,70.7,0.81,12.1,1,104,0.82,2.7,0.89
344.72,0.58,7.5,0.44,289,0.39,90.4,0.63,26.5,0.31,176,0.6,3.54,0.77
344.56,0.58,7.4,0.58,245,0.54,93.9,0.59,23.5,0.46,128,0.75,3.75,0.74
339.69,0.59,7.62,0.28,256,0.5,87.9,0.65,26.1,0.33,104,0.82,3.3,0.81
352.16,0.55,7.47,0.49,252,0.51,100,0.54,22.5,0.5,122,0.77,2.86,0.87
335.24,0.6,7.5,0.44,264,0.47,92.7,0.61,24.3,0.42,180,0.59,3.97,0.71
360.37,0.53,7.37,0.63,191,0.71,74.3,0.77,21.5,0.55,122,0.77,2.55,0.91
332.32,0.61,7.56,0.36,249,0.52,88.7,0.64,23.4,0.46,178,0.6,4.26,0.67
365.18,0.51,7.58,0.33,202,0.68,93.9,0.59,19.6,0.64,114,0.79,3.04,0.84
354.71,0.55,7.56,0.36,254,0.51,88.9,0.64,25.5,0.36,100,0.84,3.7,0.75
358.52,0.53,7.58,0.33,247,0.53,104,0.5,20.9,0.58,148,0.69,5.4,0.51
376.62,0.48,7.45,0.51,205,0.67,89.4,0.64,20.5,0.6,130,0.74,2.91,0.86
517.16,0.06,7.49,0.46,212,0.64,77.9,0.74,18.9,0.68,96,0.85,2.8,0.88
203.68,1,7.34,0.67,153,0.84,86.3,0.66,20.8,0.59,122,0.77,3.16,0.83
332.07,0.61,7.52,0.42,313,0.31,117,0.38,25.6,0.36,182,0.59,4.81,0.59
341.58,0.58,7.34,0.67,239,0.56,87.5,0.65,23.1,0.48,120,0.77,3.56,0.77
353.07,0.55,7.63,0.26,234,0.57,105,0.49,22.9,0.49,154,0.67,4.41,0.65
266.43,0.81,7.25,0.79,298,0.36,81.1,0.71,22.5,0.5,218,0.48,2.98,0.85
357.68,0.54,7.28,0.75,263,0.48,76.7,0.75,22.5,0.5,146,0.7,3.21,0.82
328.82,0.62,7.56,0.36,264,0.47,92.3,0.61,28.5,0.22,210,0.5,4.84,0.59
346.03,0.57,7.46,0.5,269,0.46,91.9,0.61,20.9,0.58,150,0.68,3.3,0.81
358.49,0.53,7.52,0.42,217,0.63,73.1,0.78,22.1,0.52,140,0.71,3.14,0.83
333.46,0.61,7.59,0.32,259,0.49,78.1,0.74,27.7,0.26,186,0.57,4.44,0.65
493.95,0.13,7.58,0.33,202,0.68,61,0.89,28.4,0.22,134,0.73,2.83,0.87
390.99,0.44,7.24,0.81,219,0.62,86.5,0.66,20,0.62,134,0.73,2.64,0.9
339.33,0.59,7.59,0.32,252,0.51,86.9,0.66,24.2,0.42,164,0.64,4.04,0.7
277.46,0.78,7.37,0.63,204,0.67,108,0.47,21.8,0.54,162,0.65,3.46,0.78
384.81,0.45,7.5,0.44,218,0.63,84.1,0.68,23.8,0.44,128,0.75,2.89,0.87
467.06,0.21,7.53,0.4,136,0.89,88.3,0.65,18.5,0.7,100,0.84,2.45,0.93
341.44,0.59,7.61,0.29,242,0.55,88.7,0.64,25.3,0.37,138,0.72,3.61,0.76
351.51,0.55,7.6,0.31,202,0.68,101,0.53,20.5,0.6,90,0.87,4.32,0.66
342.58,0.58,7.59,0.32,282,0.41,96.7,0.57,23.4,0.46,186,0.57,5.27,0.53
330.49,0.62,7.48,0.47,161,0.81,101,0.53,25.6,0.36,82,0.89,3.5,0.78
385.61,0.45,7.57,0.35,291,0.38,92.5,0.61,24.6,0.4,210,0.5,5.31,0.52
336.63,0.6,7.42,0.56,231,0.58,92.1,0.61,23.5,0.46,134,0.73,3.59,0.77
340.14,0.59,7.52,0.42,272,0.45,112,0.43,27.9,0.25,142,0.71,4.9,0.58
271.86,0.79,7.44,0.53,170,0.78,60.7,0.9,19.4,0.65,158,0.66,2.48,0.92
344.17,0.58,7.27,0.76,209,0.65,65.7,0.85,23.1,0.48,176,0.6,3.67,0.75
307.57,0.69,7.46,0.5,272,0.45,92.1,0.61,26,0.34,178,0.6,3.83,0.73
338.97,0.59,7.64,0.25,262,0.48,159,0,24.6,0.4,134,0.73,4.95,0.57
360.8,0.53,7.6,0.31,296,0.37,68.2,0.83,24.2,0.42,282,0.28,6.49,0.36
347.84,0.57,7.31,0.71,214,0.64,72.9,0.79,21.6,0.55,146,0.7,3.71,0.75
337.14,0.6,7.49,0.46,227,0.6,73.5,0.78,23.4,0.46,128,0.75,3.49,0.78
330.59,0.62,7.47,0.49,198,0.69,92.5,0.61,27.1,0.29,134,0.73,3.94,0.72
334.95,0.6,7.82,0,227,0.6,127,0.29,21.2,0.57,144,0.7,5.34,0.52
352.13,0.55,7.72,0.14,197,0.69,103,0.51,18.3,0.7,120,0.77,5.12,0.55
352.45,0.55,7.32,0.69,253,0.51,87.7,0.65,22.9,0.49,132,0.74,4.15,0.69
348.25,0.56,7.23,0.82,245,0.54,75.1,0.77,23.3,0.47,179,0.59,4.19,0.68
355.89,0.54,7.65,0.24,298,0.36,117,0.38,17.1,0.76,168,0.63,5.76,0.46
324.36,0.64,7.48,0.47,294,0.38,103,0.51,23.8,0.44,122,0.77,3.19,0.82
331.99,0.61,7.36,0.64,257,0.5,94.3,0.59,27.3,0.28,142,0.71,2.38,0.94
345.29,0.57,7.62,0.28,354,0.18,107,0.47,26.2,0.33,218,0.48,6.16,0.4
339.17,0.59,7.42,0.56,233,0.58,83.1,0.69,24.8,0.4,116,0.79,3.51,0.78
334.1,0.61,7.6,0.31,269,0.46,97.3,0.56,25.2,0.38,176,0.6,3.75,0.74
389.73,0.44,7.7,0.17,185,0.73,75.7,0.76,17.9,0.72,158,0.66,3.16,0.83
330.74,0.62,7.56,0.36,278,0.43,86.3,0.66,24.8,0.4,146,0.7,4.76,0.6
365.26,0.51,7.55,0.38,215,0.63,94.3,0.59,20.7,0.59,120,0.77,3.13,0.83
344.1,0.58,7.31,0.71,205,0.67,66.5,0.84,21.8,0.54,142,0.71,3.65,0.76
517.09,0.06,7.47,0.49,197,0.69,74.1,0.78,21.1,0.57,108,0.81,2.92,0.86
361.06,0.53,7.56,0.36,181,0.75,83.7,0.69,21.9,0.53,104,0.82,2.84,0.87
382.43,0.46,7.18,0.89,220,0.62,92.1,0.61,21.3,0.56,98,0.84,2.79,0.88
